path_id,path_length,total_driving_time,num_drivers,break_number,event_type,event_name,latest_node_idx,latest_geo_id,cumulative_distance,cumulative_driving_time,time_with_breaks,charging_type,id
240,757.9323076923077,9.474153846153847,1,1,B,break,0,7,0.0,0.0,0.75,fast,591
241,933.0481927710844,11.663102409638554,1,1,B,break,0,7,0.0,0.0,0.75,fast,593
242,913.9824046920822,11.424780058651027,1,1,B,break,0,7,0.0,0.0,0.75,fast,595
243,1012.3232974910394,12.654041218637992,1,1,B,break,0,7,0.0,0.0,0.75,fast,597
244,1097.2953488372093,13.716191860465116,1,1,B,break,0,7,0.0,0.0,0.75,fast,599
245,1136.675,14.208437499999999,1,1,B,break,0,7,0.0,0.0,0.75,fast,602
246,1209.9009584664536,15.12376198083067,1,1,B,break,0,7,0.0,0.0,0.75,fast,605
247,1380.8496420047734,17.260620525059668,1,1,B,break,0,7,0.0,0.0,0.75,fast,608
248,1359.4285714285716,16.992857142857144,1,1,B,break,0,7,0.0,0.0,0.75,fast,611
249,1569.6625000000001,19.62078125,1,1,B,break,0,7,0.0,0.0,0.75,fast,614
250,1775.288167938931,22.191102099236637,1,1,B,break,0,7,0.0,0.0,0.75,fast,618
251,1959.0212765957447,24.487765957446808,1,1,B,break,0,7,0.0,0.0,0.75,fast,622
252,1807.611111111111,22.59513888888889,1,1,B,break,0,7,0.0,0.0,0.75,fast,627
253,2016.357142857143,25.204464285714288,1,1,B,break,0,7,0.0,0.0,0.75,fast,632
254,1845.1655844155844,23.064569805194804,1,1,B,break,0,7,0.0,0.0,0.75,fast,637
255,1717.6518987341772,21.470648734177214,1,1,B,break,0,7,0.0,0.0,0.75,fast,642
256,1530.766467065868,19.13458083832335,1,1,B,break,0,7,0.0,0.0,0.75,fast,646
257,1256.800909090909,15.710011363636363,1,1,B,break,0,7,0.0,0.0,0.75,fast,650
258,1578.6873614190688,19.73359201773836,1,1,B,break,0,7,0.0,0.0,0.75,fast,653
259,504.3624346001235,6.304530432501544,1,1,B,break,0,8,0.0,0.0,0.75,fast,657
260,692.2124583844402,8.652655729805502,1,1,B,break,0,8,0.0,0.0,0.75,fast,658
261,697.5583333333333,8.719479166666666,1,1,B,break,0,8,0.0,0.0,0.75,fast,659
262,734.5077239958806,9.181346549948508,1,1,B,break,0,8,0.0,0.0,0.75,fast,660
263,556.4411200341127,6.955514000426409,1,1,B,break,0,8,0.0,0.0,0.75,fast,662
264,377.51515151515156,4.718939393939395,1,1,B,break,1,2,69.3254358443048,0.8665679480538101,1.61656794805381,fast,663
267,498.05981375358164,6.225747671919771,1,1,B,break,0,8,0.0,0.0,0.75,fast,666
268,596.7748482946223,7.459685603682779,1,1,B,break,0,8,0.0,0.0,0.75,fast,667
269,758.3321212121213,9.479151515151516,1,1,B,break,0,8,0.0,0.0,0.75,fast,668
270,873.4734411085451,10.918418013856813,1,1,B,break,0,8,0.0,0.0,0.75,fast,670
271,860.9344692005243,10.761680865006554,1,1,B,break,0,8,0.0,0.0,0.75,fast,672
272,968.761099971355,12.109513749641938,1,1,B,break,0,8,0.0,0.0,0.75,fast,674
273,1044.5878070973613,13.057347588717017,1,1,B,break,0,8,0.0,0.0,0.75,fast,676
274,1103.0454545454545,13.788068181818181,1,1,B,break,0,8,0.0,0.0,0.75,fast,678
275,1163.8907510862819,14.548634388578524,1,1,B,break,0,8,0.0,0.0,0.75,fast,681
276,1320.054856115108,16.500685701438847,1,1,B,break,0,8,0.0,0.0,0.75,fast,684
277,1320.8552971576228,16.510691214470285,1,1,B,break,0,8,0.0,0.0,0.75,fast,687
278,1536.6365688487583,19.207957110609478,1,1,B,break,0,8,0.0,0.0,0.75,fast,690
279,1725.594117647059,21.569926470588236,1,1,B,break,0,8,0.0,0.0,0.75,fast,694
280,1896.1530612244899,23.701913265306125,1,1,B,break,0,8,0.0,0.0,0.75,fast,698
281,1816.6716417910447,22.70839552238806,1,1,B,break,0,8,0.0,0.0,0.75,fast,703
282,2035.6944444444443,25.446180555555554,1,1,B,break,0,8,0.0,0.0,0.75,fast,708
283,1801.076923076923,22.513461538461538,1,1,B,break,0,8,0.0,0.0,0.75,fast,713
284,1665.3382352941176,20.81672794117647,1,1,B,break,0,8,0.0,0.0,0.75,fast,718
285,1488.950540958269,18.61188176197836,1,1,B,break,0,8,0.0,0.0,0.75,fast,722
286,1222.9718051995608,15.287147564994509,1,1,B,break,0,8,0.0,0.0,0.75,fast,726
287,1528.9283292978207,19.111604116222757,1,1,B,break,0,8,0.0,0.0,0.75,fast,729
288,484.87314872144657,6.060914359018082,1,1,B,break,0,9,0.0,0.0,0.75,fast,733
289,778.4907975460123,9.731134969325154,1,1,B,break,0,9,0.0,0.0,0.75,fast,734
290,782.6637168141592,9.78329646017699,1,1,B,break,0,9,0.0,0.0,0.75,fast,736
291,833.1394230769232,10.41424278846154,1,1,B,break,0,9,0.0,0.0,0.75,fast,738
292,653.0549507072438,8.163186883840549,1,1,B,break,0,9,0.0,0.0,0.75,fast,740
294,629.5270598966251,7.869088248707814,1,1,B,break,0,9,0.0,0.0,0.75,fast,742
295,548.9060616802552,6.86132577100319,1,1,B,break,0,9,0.0,0.0,0.75,fast,743
296,711.1943241943242,8.889929052429052,1,1,B,break,0,9,0.0,0.0,0.75,fast,744
297,872.8928229665073,10.91116028708134,1,1,B,break,0,9,0.0,0.0,0.75,fast,745
298,971.982558139535,12.149781976744187,1,1,B,break,0,9,0.0,0.0,0.75,fast,747
299,955.0515151515152,11.93814393939394,1,1,B,break,0,9,0.0,0.0,0.75,fast,749
300,1081.6017881705639,13.520022352132049,1,1,B,break,0,9,0.0,0.0,0.75,fast,751
301,1149.0663507109005,14.363329383886256,1,1,B,break,0,9,0.0,0.0,0.75,fast,754
