year,scenario,country,infrastructure_type,ref_capacity_MW,case_capacity_MW,delta_capacity_MW,pct_change_capacity,ref_utilization_pct,case_utilization_pct,delta_utilization_pct
2050,case_20251028_091502_uni_var,DE,fast_charging_station,352.657236332,352.657236332,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,DK,slow_charging_station,48.195576969,48.195576969,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,DK,fast_charging_station,54.597960412,54.597960412,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,IT,slow_charging_station,175.603954726,193.01884683400002,17.414892108000004,9.917141180090717,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,IT,fast_charging_station,151.218423517,151.17054397599998,-0.04787954100001457,-0.031662505061515835,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,NO,slow_charging_station,23.959363592000003,17.563749969,-6.395613623000003,-26.69358724175582,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,NO,fast_charging_station,20.998245378,20.998245378,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,SE,slow_charging_station,44.959503257,26.979562959000003,-17.979940298,-39.99141226098978,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,SE,fast_charging_station,35.52,35.52,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,AT,slow_charging_station,160.79126240800005,126.77827079400001,-34.01299161400004,-21.153507413663885,0.5848625877943717,0.7417737521884676,0.15691116439409591
2050,case_20251028_091635_uni_uni,AT,fast_charging_station,151.58298977100003,151.523689438,-0.05930033300003856,-0.039120704169791715,0.6203914698386238,0.6206342649896731,0.00024279515104930205
2050,case_20251028_091635_uni_uni,DE,slow_charging_station,318.21440732099995,336.6175245620001,18.403117241000132,5.783244509867814,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,DE,fast_charging_station,352.657236332,353.1217115879999,0.4644752559999006,0.13170728065328352,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,DK,slow_charging_station,48.195576969,50.434702906,2.239125936999997,4.645915824267922,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,DK,fast_charging_station,54.597960412,54.597960412,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,IT,slow_charging_station,175.603954726,147.70760293299998,-27.896351793000036,-15.885947350404225,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,IT,fast_charging_station,151.218423517,141.780906845,-9.437516671999987,-6.240983375242648,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,NO,slow_charging_station,23.959363592000003,12.352862695000002,-11.606500897,-48.44244235633786,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,NO,fast_charging_station,20.998245378,20.991984876000004,-0.006260501999996393,-0.02981440538148755,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,SE,slow_charging_station,44.959503257,29.488564071,-15.470939186000003,-34.41083211610271,0.0,0.0,0.0
2050,case_20251028_091635_uni_uni,SE,fast_charging_station,35.52,35.52,0.0,0.0,0.0,0.0,0.0
